RATING,TITLE,CREDIT,BOX OFFICE,YEAR
83,Avengers: Infinity War,Groot,665,2018
83,Guardians of the Galaxy Vol. 2,Baby Groot,389.9,2017
66,The Fate of the Furious,Dominic Toretto  Producer,225.7,2017
45,xXx: Return of Xander Cage,Producer   Xander Cage,44.9,2017
45,Billy Lynn's Long Halftime Walk,Shroom,1.8,2016
80,Furious 7,Dominic Toretto  Producer,317,2015
91,Guardians of the Galaxy,Groot,270.6,2014
57,Riddick,Producer   Riddick,35.6,2013
69,Fast & Furious 6,Dominic Toretto  Producer,238.8,2013
77,Fast Five,Producer   Dominic Toretto,209.9,2011
29,Fast & Furious,Producer   Dominic Toretto,155.1,2009
6,Babylon A.D.,Toorop,22.5,2008
37,The Fast and the Furious: Tokyo Drift,Dominic Toretto,62.5,2006
20,The Pacifier,Shane Wolfe,113.1,2005
29,The Chronicles of Riddick,Producer   Riddick,56.9,2004
11,A Man Apart,Sean Vetter  Producer   Executive Producer,26.2,2003
21,Knockaround Guys,Taylor Reese,11.6,2002
48,XXX,Executive Producer   Xander Cage,141.2,2002
53,The Fast and the Furious,Dominic,142.6,2001
